"training" "version" "op_focus_phonology" "os_focus_phonology" "ba_focus_phonology" "op_focus_semantics" "os_focus_semantics" "ba_focus_semantics" "op_focus_oph" "os_focus_oph" "ba_focus_oph" "op_focus_osh" "os_focus_osh" "ba_focus_osh"
1e+06 1 0.999760901268261 0.999566547599936 0.999845931128592 0.996960211109327 0.99820698089581 0.998594978969337 0.73655986065179 0.756113863862578 0.759973320757746 0.823004124257505 0.805467007063734 0.802070777010756
1e+06 2 0.999730024080912 0.999545400545834 0.999855623856157 0.99762483319955 0.998653710065821 0.998904459303259 0.755934616471344 0.786080190399743 0.775759782790175 0.802968805426232 0.79632317225879 0.79341528688393
1e+06 3 0.999559368277412 0.999289193449992 0.999760954246267 0.997348514849896 0.998641666880719 0.998893856477765 0.747590549365869 0.780645057794188 0.771088978969337 0.780510688071922 0.784473001123776 0.78101856269064
1e+06 4 0.999743930486434 0.999704788890673 0.999877302135174 0.997317853266977 0.998473971584524 0.99873361743458 0.763655703804784 0.755675992294108 0.77446550008027 0.863740685021673 0.841693973832076 0.838099040134853
1e+06 5 0.999635772997271 0.999340592229892 0.999803972226682 0.997275949590624 0.998526380799486 0.998839450473591 0.74626554101782 0.772687048001284 0.763462942366351 0.783962006100498 0.788051772034034 0.784370569112217
1e+06 7 0.999751033713277 0.999628992615187 0.999871007545352 0.99716127323808 0.99832928415476 0.998690284957457 0.75026585776208 0.770498987317386 0.770489039332156 0.799763511960186 0.796610436346123 0.79646022411302
1e+06 9 0.999724681329266 0.999515460908653 0.999827055546637 0.997304312730775 0.998292077540536 0.99856196163108 0.752534312730775 0.776219102905763 0.775127255257666 0.859922712313373 0.842435897736394 0.843520195858083
1e+06 10 0.999713665756943 0.999439808315942 0.999822224273559 0.997344170813935 0.998476931931289 0.998760471504254 0.752646072082196 0.781329781826938 0.778117224755177 0.849946078664312 0.828836470701557 0.829051924385937
1e+06 12 0.99975394798523 0.999508705570718 0.999869425589982 0.997318993899502 0.998531866912827 0.998773555305828 0.75110374586611 0.772115188312731 0.766187096163108 0.821140387221063 0.807303160057794 0.80372410370846
1e+06 13 0.999781078664312 0.999703546957778 0.999891050409376 0.997411891956975 0.998444806228929 0.998730596082838 0.756484067587093 0.782756226200032 0.772885673944453 0.845258663188313 0.825643208701236 0.825987226200032
1e+06 14 0.999642772194574 0.99948695617274 0.999799108524643 0.997242227644887 0.998430879274362 0.998721622090223 0.747414815379676 0.766850638946861 0.769258711992294 0.806589582276449 0.8000943661904 0.796688932894526
1e+06 15 0.999690138224434 0.999537284957457 0.99986054374699 0.997375272756462 0.998477427837534 0.998785405201477 0.736031529137903 0.757314446299567 0.759566821801252 0.798965001926473 0.791402715042543 0.791320831112538
1e+06 16 0.999666227805426 0.999485429442928 0.999790056509873 0.997443506341307 0.998401790496067 0.998731434259111 0.748270079788088 0.774636074169209 0.764827771712956 0.845247773960507 0.831269634451758 0.830798637502007
1e+06 17 0.999646302135174 0.99944757649703 0.999821989725478 0.997441561887944 0.99868423759833 0.998970374859528 0.742817963878632 0.772886684218976 0.763658537325413 0.794553025525767 0.791568810563493 0.786936610210307
1e+06 18 0.999683216888746 0.999413039011077 0.999818824369883 0.997384212393643 0.998480322042061 0.99873878150586 0.733047157810242 0.770836191844598 0.755464322684219 0.825784924225397 0.809552026007385 0.808722998073527
1e+06 20 0.999739404559319 0.999640749558517 0.999868466366993 0.997182353026168 0.99837819393161 0.99869748900305 0.748689170492856 0.76291786899984 0.771009649703002 0.802551600738481 0.803425880237598 0.802617294910901
1e+06 21 0.999635594637984 0.999391240809119 0.999806936426393 0.997274529298443 0.998478583400225 0.998779137582276 0.754963309841066 0.776490342912185 0.770098892117515 0.822826302937871 0.812239847648098 0.807610621769144
1e+06 22 0.999709659816985 0.999501691443249 0.999833060523359 0.997091673783914 0.998503408091186 0.998802185423021 0.75473641531546 0.778299024080912 0.775460309038369 0.794707695617274 0.790371242575052 0.788940895328303
1e+06 23 0.999623520950393 0.999380921014609 0.999807308235672 0.997338227805426 0.998638348691604 0.998928764488682 0.739741578905121 0.764256684700594 0.754901984267138 0.784314974313694 0.781644874137101 0.778949298924386
1e+06 24 0.99967903002087 0.999503191523519 0.99982288264569 0.997247603146572 0.998459673462835 0.998818684379515 0.767131540536202 0.770954223631402 0.770920091025847 0.839056452721143 0.817617815058597 0.799455308556751
1e+06 25 0.999720991973029 0.999502164392358 0.999837300850859 0.997304189597046 0.998474441643924 0.998772712473912 0.763513539894044 0.77489308749398 0.780953213677958 0.801571001444855 0.803038471343715 0.798894189436507
1e+06 27 0.999664183336009 0.999402335206293 0.999810433456414 0.997323333761438 0.998603596243378 0.998894269866752 0.758991154278375 0.776175650987317 0.770240161021031 0.800528277893723 0.79645582501204 0.792980403596083
