item word word_untagged logFreq orthN length consistency AoA phonemeN
1 a a 1 0 1 0.125 1 1
2 ace ace 0.07746 10 3 1 14 2
3 ache ache 0.161245 0 4 0.5 11 2
4 ached ache 0.232379 1 5 1 14 3
5 aches ache 0.141421 1 5 1 14 3
6 act act 0.956033 5 3 1 3 3
7 acts act 0.579655 2 4 1 5 4
8 ad ad 0.248998 6 2 0.842105 9 2
9 add add 1 4 3 1 4 2
10 adds add 0.464758 1 4 1 6 3
11 ads ad 0.184391 3 3 0.916667 7 3
12 adze adze 0.05 0 4 1 14 3
13 aft aft 0.184391 6 3 0.888889 11 3
14 age age 1 8 3 1 3 2
15 aid aid 0.622896 12 3 0.75 5 2
16 aide aide 0.1 7 4 1 11 2
17 aides aide 0.109545 4 5 1 12 3
18 aids aid 0.236643 8 4 0.8 8 3
19 ail ail 0.05 8 3 1 14 2
20 ailed ail 0.05 3 5 1 14 3
21 ails ail 0.063246 7 4 1 14 3
22 aim aim 0.431277 8 3 1 6 2
23 aimed aim 0.3 1 5 1 7 3
24 aims aim 0.232379 7 4 1 11 3
25 air air 1 5 3 1 2 2
26 airs air 0.118322 5 4 1 14 3
27 aisle aisle 0.173205 1 5 1 9 2
28 aisles aisle 0.141421 1 6 1 11 3
29 ale ale 0.126491 11 3 1 14 2
30 ales ale 0.05 5 4 1 14 3
31 all all 1 6 3 0.933333 1 2
32 alms alms 0.063246 5 4 0.8 14 4
33 alp alp 0.089443 4 3 1 14 3
34 alps alp 0.05 3 4 1 7 4
35 am be 1 5 2 1 1 2
36 amp amp 0.05 4 3 0.933333 14 3
37 an an 1 7 2 0.882353 2 2
38 and and 1 4 3 0.923077 1 3
39 angst angst 0.05 0 5 1 14 5
40 ant ant 0.54037 5 3 0.9 11 3
41 ants ant 0.806226 2 4 1 5 4
42 ape ape 0.184391 9 3 1 11 2
43 apes ape 0.223607 3 4 1 9 3
44 apse apse 0.05 1 4 1 14 3
45 apt apt 0.256905 5 3 1 7 3
46 arc arc 0.431277 4 3 1 8 3
47 arch arch 0.228035 1 4 1 8 3
48 arcs arc 0.296648 5 4 1 14 4
49 are be 1 15 3 0.05 1 2
50 ares are 0.05 9 4 0.941176 14 3
51 ark ark 0.194936 6 3 1 11 3
52 arks ark 0.05 5 4 1 14 4
53 arm arm 0.990959 5 3 0.714286 2 3
54 arms arm 1 6 4 1 2 4
55 arse arse 0.05 1 4 1 14 3
56 art art 1 8 3 0.857143 4 3
57 arts art 0.43589 6 4 0.8 8 4
58 as as 1 6 2 0.142857 1 2
59 ash ash 0.268328 3 3 0.84 6 2
60 ask ask 1 4 3 1 2 3
61 asked ask 1 0 5 1 1 4
62 asks ask 0.577927 2 4 1 5 4
63 asp asp 0.05 5 3 0.857143 14 3
64 asps asp 0.05 2 4 0.857143 14 4
65 ass ass 0.219089 4 3 1 14 2
66 at at 1 6 2 0.888889 1 2
67 ate eat 0.938083 8 3 1 2 2
68 aught aught 0.089443 1 5 0.75 14 2
69 aunt aunt 0.466905 5 4 1 2 3
70 aunts aunt 0.228035 4 5 1 8 4
71 awe awe 0.256905 12 3 1 8 1
72 awes awe 0.05 7 4 1 14 2
73 awl awl 0.109545 5 3 1 14 2
74 awls awl 0.05 4 4 1 14 3
75 awn awn 0.05 3 3 1 14 2
76 awns awn 0.05 3 4 1 14 3
77 ax ax 0.407431 6 2 1 5 3
78 axe axe 0.232379 8 3 1 11 3
79 aye aye 0.319374 12 3 1 14 1
80 babe babe 0.1 6 4 1 12 3
81 babes babe 0.05 3 5 1 14 4
82 back back 1 15 4 1 1 3
83 bad bid 1 18 3 0.842105 2 3
84 badge badge 0.154919 3 5 1 12 3
85 bag bag 0.861394 20 3 1 2 3
86 bags bag 0.53479 18 4 1 4 4
87 bail bail 0.141421 15 4 1 14 3
88 bails bail 0.05 14 5 1 14 4
89 bait bait 0.293258 4 4 1 7 3
90 baits bait 0.05 3 5 1 14 4
91 baize baize 0.05 1 5 1 14 3
92 bake bake 0.431277 16 4 1 7 3
93 baked bake 0.431277 2 5 1 5 4
94 bakes bake 0.141421 14 5 1 14 4
95 bald bald 0.256905 7 4 1 7 4
96 bale bale 0.126491 21 4 1 14 3
97 bales bale 0.204939 16 5 1 12 4
98 balk balk 0.063246 12 4 1 14 4
99 balked balk 0.089443 5 6 1 14 5
100 balks balk 0.05 10 5 1 14 5
101 ball ball 1 18 4 0.933333 2 3
102 balls ball 0.583095 16 5 1 5 4
103 balm balm 0.05 7 4 1 14 4
